expense_id,expense_date,expense_category,department,amount
E10000,2025-12-08,Infrastructure,Technology,78402.16
E10001,2026-02-15,Salaries,HR,122401.25
E10002,2025-03-01,Operations,Operations,141663.33
E10003,2025-08-20,Operations,Operations,37764.66
E10004,2026-08-02,Operations,Operations,118295.27
E10005,2026-04-02,Operations,Operations,128404.52
E10006,2025-05-10,Marketing,Marketing,23163.42
E10007,2025-11-13,Technology,Technology,81987.51
E10008,2026-03-08,Salaries,HR,43476.04
E10009,2026-03-22,Salaries,HR,63232.9
E10010,2025-09-18,Logistics,Operations,91175.61
E10011,2025-01-27,Operations,Operations,67411.23
E10012,2026-01-09,Infrastructure,Technology,59391.38
E10013,2025-02-20,Infrastructure,Technology,135119.25
E10014,2025-12-17,Infrastructure,Technology,34495.59
E10015,2025-10-19,Technology,Technology,144686.9
E10016,2026-07-26,Technology,Technology,83173.02
E10017,2026-04-15,Infrastructure,Technology,23257.59
E10018,2026-03-12,Logistics,Operations,122058.33
E10019,2026-07-09,Infrastructure,Technology,31309.63
E10020,2025-03-22,Technology,Technology,143125.31
E10021,2025-03-16,Technology,Technology,53284.45
E10022,2026-06-21,Operations,Operations,126389.96
E10023,2025-05-18,Technology,Technology,114326.61
E10024,2025-03-06,Customer Support,Support,30101.34
E10025,2025-11-23,Infrastructure,Technology,37610.0
E10026,2025-09-29,Technology,Technology,9833.6
E10027,2025-01-14,Marketing,Marketing,102598.8
E10028,2025-08-04,Logistics,Operations,49436.57
E10029,2025-09-24,Customer Support,Support,113762.8
E10030,2026-03-17,Salaries,HR,27258.27
E10031,2025-10-20,Technology,Technology,46072.28
E10032,2026-02-13,Marketing,Marketing,106137.51
E10033,2026-07-13,Marketing,Marketing,148818.62
E10034,2026-03-31,Logistics,Operations,122635.59
E10035,2025-05-25,Customer Support,Support,116153.51
E10036,2025-10-18,Technology,Technology,54775.63
E10037,2025-04-06,Marketing,Marketing,75074.67
E10038,2025-02-05,Technology,Technology,33234.59
E10039,2025-12-19,Customer Support,Support,114185.01
E10040,2025-07-07,Salaries,HR,39990.58
E10041,2026-02-02,Salaries,HR,41141.96
E10042,2025-08-11,Technology,Technology,87431.27
E10043,2026-07-10,Infrastructure,Technology,7452.46
E10044,2025-11-05,Customer Support,Support,87991.56
E10045,2026-06-05,Salaries,HR,18195.7
E10046,2025-07-11,Infrastructure,Technology,51614.25
E10047,2025-12-04,Logistics,Operations,60864.5
E10048,2025-09-13,Operations,Operations,36783.06
E10049,2025-03-27,Infrastructure,Technology,90190.55
E10050,2025-11-09,Infrastructure,Technology,32694.97
E10051,2025-09-08,Customer Support,Support,88491.1
E10052,2026-07-23,Infrastructure,Technology,148837.22
E10053,2026-01-20,Salaries,HR,14354.58
E10054,2025-05-30,Marketing,Marketing,129708.02
E10055,2026-02-19,Marketing,Marketing,78119.55
E10056,2025-01-03,Marketing,Marketing,66294.78
E10057,2025-05-28,Logistics,Operations,123330.3
E10058,2026-07-27,Customer Support,Support,44034.37
E10059,2025-09-03,Marketing,Marketing,127544.85
E10060,2026-02-26,Marketing,Marketing,73907.18
E10061,2025-07-27,Operations,Operations,23112.14
E10062,2026-07-06,Customer Support,Support,89173.46
E10063,2025-01-11,Customer Support,Support,117031.23
E10064,2025-03-10,Operations,Operations,55213.62
E10065,2026-02-11,Infrastructure,Technology,60428.29
E10066,2026-06-25,Technology,Technology,60653.7
E10067,2025-10-12,Technology,Technology,66600.86
E10068,2025-10-03,Infrastructure,Technology,12738.54
E10069,2025-09-02,Marketing,Marketing,130488.94
E10070,2026-01-29,Operations,Operations,139989.98
E10071,2026-06-02,Technology,Technology,135837.17
