campaign_id,campaign_name,channel,campaign_date,spend,impressions,clicks,leads,conversions
M1000,Referral Campaign 1,Referral,2026-01-20,177948.19,456395,16665,5034,977
M1001,Email Campaign 2,Email,2026-05-27,48246.98,568772,19725,2095,278
M1002,YouTube Campaign 3,YouTube,2025-06-02,61800.92,570784,7931,1329,370
M1003,Referral Campaign 4,Referral,2025-03-15,175759.61,71119,1316,413,60
M1004,Email Campaign 5,Email,2025-04-14,187673.54,584163,16594,3743,269
M1005,Google Ads Campaign 6,Google Ads,2026-08-04,72028.37,70971,3999,829,70
M1006,Email Campaign 7,Email,2025-01-26,100858.38,157046,9152,2949,563
M1007,Referral Campaign 8,Referral,2025-08-30,92108.3,486329,36627,8657,1603
M1008,Referral Campaign 9,Referral,2026-08-05,26306.74,337774,11615,2581,415
M1009,Google Ads Campaign 10,Google Ads,2026-02-03,111422.3,613433,38925,7424,1784
M1010,Referral Campaign 11,Referral,2025-09-09,142062.05,715698,33541,8670,502
M1011,Google Ads Campaign 12,Google Ads,2025-08-02,168100.98,489610,31773,2733,312
M1012,Email Campaign 13,Email,2026-03-09,106955.74,429675,27805,4246,522
M1013,Referral Campaign 14,Referral,2025-03-18,114172.73,702573,52901,8366,1647
M1014,Instagram Campaign 15,Instagram,2026-06-24,59147.87,631286,48908,2496,676
M1015,Instagram Campaign 16,Instagram,2026-07-03,137485.68,90191,1799,333,93
M1016,Google Ads Campaign 17,Google Ads,2025-03-24,128261.16,956738,66378,17277,1790
M1017,Email Campaign 18,Email,2025-02-13,98406.08,719156,9392,3279,625
M1018,Instagram Campaign 19,Instagram,2025-07-28,102068.1,372596,6676,489,124
M1019,Instagram Campaign 20,Instagram,2026-07-11,39375.18,970942,22298,3369,663
M1020,YouTube Campaign 21,YouTube,2025-03-19,135053.4,436533,23182,4573,259
M1021,Instagram Campaign 22,Instagram,2026-06-06,140312.31,170477,10474,2084,171
M1022,Google Ads Campaign 23,Google Ads,2025-03-03,110613.01,899418,50189,6430,1113
M1023,Referral Campaign 24,Referral,2026-03-25,24333.32,643173,12823,1836,459
M1024,Instagram Campaign 25,Instagram,2025-05-11,165355.87,436853,17885,5406,1023
M1025,Google Ads Campaign 26,Google Ads,2026-06-29,182997.94,171860,13094,2003,546
M1026,Google Ads Campaign 27,Google Ads,2026-04-24,129828.35,155190,11651,2472,172
M1027,Referral Campaign 28,Referral,2025-06-30,164060.5,298872,13996,3548,692
M1028,Email Campaign 29,Email,2025-10-30,34909.79,164503,8357,2740,337
M1029,Email Campaign 30,Email,2026-06-16,108973.23,814971,43668,6087,1762
M1030,Google Ads Campaign 31,Google Ads,2025-09-22,182722.74,435495,27151,8025,1541
M1031,Instagram Campaign 32,Instagram,2025-11-26,108132.83,231013,3194,1106,122
M1032,Email Campaign 33,Email,2025-08-10,127537.31,46780,2379,234,33
M1033,Google Ads Campaign 34,Google Ads,2025-06-03,82038.17,923934,58516,18215,2599
M1034,Google Ads Campaign 35,Google Ads,2025-11-16,196969.4,301558,23616,2774,498
M1035,Instagram Campaign 36,Instagram,2025-12-09,86856.0,173975,11822,820,146
M1036,Google Ads Campaign 37,Google Ads,2025-02-09,31077.53,182620,12572,3632,198
M1037,Google Ads Campaign 38,Google Ads,2026-06-22,65026.56,459699,30300,6100,396
M1038,Referral Campaign 39,Referral,2025-01-01,12550.28,237138,13661,1557,454
M1039,Google Ads Campaign 40,Google Ads,2025-11-03,70426.11,464249,12253,3666,801
M1040,Instagram Campaign 41,Instagram,2025-04-04,22485.24,915399,47962,2929,747
M1041,Referral Campaign 42,Referral,2025-03-30,143226.52,45712,2091,608,162
M1042,Google Ads Campaign 43,Google Ads,2025-09-28,11771.12,545817,31893,4420,466
M1043,YouTube Campaign 44,YouTube,2025-09-12,109482.03,495944,25431,6971,1869
M1044,Google Ads Campaign 45,Google Ads,2025-12-08,32245.49,273972,16271,1265,256
M1045,Google Ads Campaign 46,Google Ads,2025-05-17,185489.01,193069,6430,1691,501
M1046,Referral Campaign 47,Referral,2026-06-03,85215.91,756848,50852,12101,2964
M1047,YouTube Campaign 48,YouTube,2025-04-11,156180.57,141993,2757,842,72
M1048,YouTube Campaign 49,YouTube,2025-12-07,40992.52,111885,7383,1753,371
