return_id,order_id,customer_id,product_id,return_date,return_reason,refund_amount
R10000,O119505,C107113,P1260,2025-01-27,Late Delivery,647.41
R10001,O125902,C100550,P1022,2026-08-25,Late Delivery,6263.34
R10002,O123006,C109269,P1177,2026-06-04,Wrong Product,7308.43
R10003,O145900,C107267,P1261,2026-03-31,Damaged Product,3600.99
R10004,O105277,C106890,P1287,2026-05-30,Late Delivery,7134.84
R10005,O138495,C100111,P1076,2025-11-27,Late Delivery,7502.68
R10006,O117727,C101250,P1051,2025-02-08,Damaged Product,3260.87
R10007,O103361,C103117,P1430,2026-05-22,Late Delivery,1555.14
R10008,O109965,C103346,P1320,2025-08-06,Late Delivery,1761.2
R10009,O139815,C108892,P1248,2026-06-20,Wrong Product,8387.6
R10010,O105197,C108441,P1301,2025-12-16,Wrong Product,3060.71
R10011,O101561,C103907,P1434,2026-06-08,Changed Mind,7077.12
R10012,O114093,C107965,P1055,2026-08-09,Quality Issue,13542.46
R10013,O126462,C107181,P1179,2026-03-18,Changed Mind,7880.62
R10014,O121621,C108503,P1134,2025-03-05,Wrong Product,4624.26
R10015,O145917,C102444,P1308,2026-05-21,Quality Issue,10565.04
R10016,O133300,C102128,P1134,2026-01-18,Damaged Product,4624.26
R10017,O112420,C105938,P1255,2025-12-02,Late Delivery,2469.94
R10018,O133021,C106861,P1490,2025-07-26,Late Delivery,1641.9
R10019,O125545,C106206,P1210,2025-09-20,Late Delivery,12521.59
R10020,O139584,C103071,P1316,2025-10-13,Quality Issue,17960.72
R10021,O153270,C103849,P1057,2025-11-23,Wrong Product,1462.21
R10022,O130481,C109053,P1183,2025-12-30,Late Delivery,6668.18
R10023,O127911,C102249,P1215,2026-08-15,Quality Issue,3985.93
R10024,O146433,C101093,P1134,2025-03-24,Damaged Product,1095.22
R10025,O130511,C105658,P1266,2026-01-19,Changed Mind,5360.1
R10026,O157739,C100379,P1113,2026-02-22,Damaged Product,11641.6
R10027,O116499,C106302,P1178,2026-04-24,Changed Mind,6662.6
R10028,O110777,C104690,P1437,2025-08-22,Changed Mind,5848.09
R10029,O102928,C103260,P1191,2026-02-01,Wrong Product,2674.95
R10030,O110080,C107897,P1250,2025-09-06,Changed Mind,4735.75
R10031,O136831,C102839,P1000,2025-05-22,Late Delivery,4179.83
R10032,O111818,C109308,P1070,2025-09-24,Wrong Product,811.34
R10033,O141757,C108375,P1402,2026-06-29,Damaged Product,21074.13
R10034,O136610,C100510,P1218,2026-01-23,Quality Issue,6424.02
R10035,O122396,C108890,P1205,2026-05-15,Late Delivery,22641.88
R10036,O111464,C102810,P1289,2026-07-05,Damaged Product,3970.16
R10037,O157852,C104691,P1491,2025-04-14,Wrong Product,15367.64
R10038,O105548,C101737,P1396,2026-08-18,Late Delivery,9555.0
R10039,O120592,C101750,P1353,2025-12-06,Late Delivery,2887.58
R10040,O158136,C104093,P1128,2025-11-14,Wrong Product,4388.31
R10041,O113668,C104585,P1263,2026-04-01,Damaged Product,3518.44
R10042,O119389,C103196,P1474,2026-07-21,Changed Mind,11192.26
R10043,O132909,C105666,P1211,2025-07-28,Quality Issue,10969.02
R10044,O102630,C102118,P1084,2026-03-29,Changed Mind,1133.42
R10045,O128869,C108396,P1088,2026-07-05,Changed Mind,1343.33
R10046,O103998,C103730,P1000,2026-04-06,Late Delivery,16719.34
R10047,O101288,C102724,P1454,2026-07-11,Wrong Product,11241.22
R10048,O126355,C103410,P1209,2025-11-09,Changed Mind,18493.44
R10049,O159555,C100350,P1008,2025-07-27,Late Delivery,1508.63
R10050,O153136,C107209,P1371,2025-12-15,Changed Mind,8225.0
R10051,O104386,C109481,P1381,2025-10-07,Changed Mind,3792.89
R10052,O133435,C109615,P1031,2025-08-24,Damaged Product,17102.2
R10053,O115402,C104731,P1245,2025-12-04,Wrong Product,1914.48
R10054,O142952,C101009,P1454,2025-12-02,Late Delivery,5620.61
R10055,O137730,C103495,P1249,2025-06-04,Wrong Product,3472.69
R10056,O145454,C108212,P1133,2025-02-13,Quality Issue,17470.53
R10057,O110453,C104772,P1485,2025-08-07,Wrong Product,3047.81
R10058,O143593,C108632,P1323,2025-11-29,Changed Mind,18360.72
R10059,O127483,C105148,P1159,2026-07-13,Late Delivery,13959.49
R10060,O129484,C103636,P1281,2026-02-15,Changed Mind,8652.91
R10061,O147554,C104246,P1213,2026-06-10,Quality Issue,8663.81
R10062,O115656,C107640,P1202,2025-06-29,Late Delivery,1838.58
R10063,O126534,C102445,P1324,2025-02-18,Late Delivery,709.52
R10064,O120867,C103602,P1468,2025-07-04,Damaged Product,7060.5
R10065,O123459,C101569,P1120,2025-05-23,Changed Mind,9563.04
R10066,O143791,C105098,P1153,2025-05-23,Changed Mind,11842.76
R10067,O119897,C109719,P1062,2026-06-17,Changed Mind,4934.65
R10068,O141430,C100202,P1192,2026-04-14,Wrong Product,4955.47
R10069,O142907,C109808,P1352,2025-07-10,Changed Mind,4753.97
R10070,O101247,C106542,P1186,2026-04-09,Quality Issue,6523.38
R10071,O147327,C103085,P1322,2025-01-16,Quality Issue,1571.49
R10072,O155837,C108558,P1068,2025-04-20,Quality Issue,10468.6
R10073,O124461,C105708,P1204,2025-04-22,Late Delivery,6128.38
